INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      5339  JAN 12,2009  INTEGRATED BILLING
      5340  JAN 12,2009  INTEGRATED BILLING
      5341  JAN 12,2009  INTEGRATED BILLING
      5342  JAN 12,2009  INCOME VERIFICATION MATCH
      5351  JAN 16,2009  TEXT INTEGRATION UTILITIES
      5352  JAN 26,2009  TEXT INTEGRATION UTILITIES
      5353  JAN 27,2009  INTEGRATED BILLING
      5355  FEB  2,2009  INTEGRATED BILLING
      5357  FEB  4,2009  RADIOLOGY/NUCLEAR MEDICINE
      5358  FEB  4,2009  RADIOLOGY/NUCLEAR MEDICINE
      5359  FEB  4,2009  RADIOLOGY/NUCLEAR MEDICINE
      5360  FEB  4,2009  RADIOLOGY/NUCLEAR MEDICINE
      5361  FEB  5,2009  INTEGRATED BILLING
      5364  FEB  9,2009  REGISTRATION
      5365  FEB 11,2009  CONSULT/REQUEST TRACKING
      5367  FEB 13,2009  ORDER ENTRY/RESULTS REPORTING
      5369  FEB 13,2009  PHARMACY DATA MANAGEMENT
      5370  FEB 19,2009  VA CERTIFIED COMPONENTS - DSSI
      5371  FEB 19,2009  VA CERTIFIED COMPONENTS - DSSI
      5372  FEB 19,2009  VA CERTIFIED COMPONENTS - DSSI
      5373  FEB 19,2009  VA CERTIFIED COMPONENTS - DSSI
      5374  FEB 19,2009  VA CERTIFIED COMPONENTS - DSSI
      5375  FEB 27,2009  REGISTRATION
      5378  MAR  4,2009  VA FILEMAN
      5379  MAR  9,2009  REGISTRATION
      5386  MAR 13,2009  LEXICON UTILITY
      5388  MAR 16,2009  DRG GROUPER
      5392  MAR 16,2009  FEE BASIS
      5393  MAR 16,2009  FEE BASIS
      5394  MAR 16,2009  FEE BASIS
      5395  MAR 16,2009  FEE BASIS
      5396  MAR 16,2009  FEE BASIS
      5398  MAR 16,2009  FEE BASIS
      5399  MAR 16,2009  FEE BASIS
      5400  MAR 16,2009  FEE BASIS
      5401  MAR 16,2009  FEE BASIS
      5402  MAR 16,2009  FEE BASIS
      5403  MAR 16,2009  FEE BASIS
      5404  MAR 17,2009  DRG GROUPER
      5405  MAR 17,2009  CPT/HCPCS CODES
      5406  MAR 17,2009  KERNEL
      5407  MAR 17,2009  ORDER ENTRY/RESULTS REPORTING
      5408  MAR 17,2009  CPT/HCPCS CODES
      5409  MAR 17,2009  FEE BASIS
      5410  MAR 17,2009  FEE BASIS
      5411  MAR 17,2009  FEE BASIS
      5412  MAR 17,2009  FEE BASIS
      5413  MAR 19,2009  VA FILEMAN
      5414  MAR 19,2009  VA FILEMAN
      5415  MAR 19,2009  VA FILEMAN
      5416  MAR 19,2009  VA FILEMAN
      5417  MAR 19,2009  E CLAIMS MGMT ENGINE
      5418  MAR 20,2009  VA FILEMAN
      5419  MAR 20,2009  VA FILEMAN
      5420  MAR 20,2009  WEB SERVICES CLIENT
      5421  MAR 20,2009  WEB SERVICES CLIENT
      5424  MAR 26,2009  INTEGRATED BILLING
      5425  APR  7,2009  PHARMACY DATA MANAGEMENT
      5427  APR  7,2009  OUTPATIENT PHARMACY
      5429  APR 14,2009  ORDER ENTRY/RESULTS REPORTING
      5430  APR 14,2009  ORDER ENTRY/RESULTS REPORTING
      5431  APR 14,2009  REGISTRATION
      5433  APR 14,2009  REGISTRATION
      5434  APR 29,2009  BAR CODE MED ADMIN
      5439  MAY  5,2009  POLICE & SECURITY
      5440  MAY  6,2009  ORDER ENTRY/RESULTS REPORTING
      5445  MAY  6,2009  HEALTH SUMMARY
      5446  MAY  6,2009  ORDER ENTRY/RESULTS REPORTING
      5447  MAY  6,2009  TEXT INTEGRATION UTILITIES
      5448  MAY 11,2009  CLINICAL REMINDERS
      5449  MAY 12,2009  HEALTH LEVEL SEVEN
      5450  MAY 12,2009  IMAGING
      5451  MAY 13,2009  LIST MANAGER
      5452  MAY 14,2009  VA FILEMAN
      5455  MAY 26,2009  RADIOLOGY/NUCLEAR MEDICINE
      5456  JUN  4,2009  TOOLKIT
      5458  JUN 10,2009  WEB SERVICES CLIENT
      5459  JUN 10,2009  WEB SERVICES CLIENT
      5460  JUN 10,2009  WEB SERVICES CLIENT
      5461  JUN 10,2009  WEB SERVICES CLIENT
      5462  JUN 10,2009  WEB SERVICES CLIENT
      5463  JUN 10,2009  WEB SERVICES CLIENT
      5468  JUN 23,2009  GEN. MED. REC. - VITALS
      5469  JUN 26,2009  ORDER ENTRY/RESULTS REPORTING
      5470  JUL 16,2009  KERNEL
      5477  JAN 28,2011  RADIOLOGY/NUCLEAR MEDICINE
      5478  JAN 28,2011  AUTOMATED LAB INSTRUMENTS
      5479  JAN 28,2011  RADIOLOGY/NUCLEAR MEDICINE
      5485  JAN 28,2011  LAB SERVICE
      5491  JAN 31,2011  REGISTRATION
      5493  JUL 23,2009  ORDER ENTRY/RESULTS REPORTING
      5494  AUG  3,2009  QUASAR
      5496  SEP  3,2009  PHARMACY DATA MANAGEMENT
      5499  SEP 25,2009  TEXT INTEGRATION UTILITIES
      5500  SEP 25,2009  TEXT INTEGRATION UTILITIES
      5501  SEP 28,2009  KERNEL
      5502  SEP 28,2009  KERNEL
      5503  OCT 20,2009  EMERGENCY DEPARTMENT
      5505  NOV  2,2009  OUTPATIENT PHARMACY
      5515  DEC 29,2009  TOOLKIT
      5516  DEC 29,2009  TOOLKIT
      5518  FEB 10,2010  TEXT INTEGRATION UTILITIES
      5519  FEB 18,2010  RADIOLOGY/NUCLEAR MEDICINE
      5520  FEB 18,2010  PCE PATIENT CARE ENCOUNTER
      5521  FEB 18,2010  PCE PATIENT CARE ENCOUNTER
      5526  APR  6,2010  MAILMAN
      5528  MAY  5,2010  REGISTRATION
      5529  MAY 10,2010  MAILMAN
      5530  MAY 12,2010  HEALTH LEVEL SEVEN
      5531  MAY 19,2010  CLINICAL REMINDERS
      5532  JUN  4,2010  KERNEL
      5539  JUN 22,2010  IFCAP
      5540  JUN 28,2010  TEXT INTEGRATION UTILITIES
      5541  JUN 28,2010  TEXT INTEGRATION UTILITIES
      5542  JUN 29,2010  ORDER ENTRY/RESULTS REPORTING
      5546  JUL  7,2010  TEXT INTEGRATION UTILITIES
      5548  JUL 28,2010  HEALTH LEVEL SEVEN
      5549  AUG 12,2010  ACCOUNTS RECEIVABLE
      5552  AUG 24,2010  VA FILEMAN
      5566  AUG 30,2010  FEE BASIS
      5567  SEP  1,2010  KERNEL
      5572  OCT 25,2010  INTEGRATED BILLING
      5573  OCT 28,2010  IFCAP
      5574  OCT 28,2010  IFCAP
      5575  NOV  4,2010  E CLAIMS MGMT ENGINE
      5576  NOV  8,2010  E CLAIMS MGMT ENGINE
      5579  NOV 18,2010  OUTPATIENT PHARMACY
      5582  NOV 18,2010  IFCAP
      5585  DEC  9,2010  E CLAIMS MGMT ENGINE
      5588  JAN 31,2011  LAB SERVICE
      5590  JAN 31,2011  LAB SERVICE
      5591  JAN 31,2011  LAB SERVICE
      5593  JAN 31,2011  LAB SERVICE
      5597  FEB  4,2011  REGISTRATION
      5599  FEB  7,2011  CLINICAL REMINDERS
      5600  FEB  8,2011  RADIOLOGY/NUCLEAR MEDICINE
      5601  FEB  9,2011  MASTER PATIENT INDEX
      5602  FEB 11,2011  RADIOLOGY/NUCLEAR MEDICINE
      5603  FEB 12,2011  HEALTH LEVEL SEVEN
      5604  FEB 14,2011  RADIOLOGY/NUCLEAR MEDICINE
      5605  FEB 14,2011  RADIOLOGY/NUCLEAR MEDICINE
      5606  FEB 14,2011  RADIOLOGY/NUCLEAR MEDICINE
      5607  FEB 14,2011  RADIOLOGY/NUCLEAR MEDICINE
      5608  FEB 15,2011  ORDER ENTRY/RESULTS REPORTING
      5609  FEB 15,2011  RADIOLOGY/NUCLEAR MEDICINE
      5610  FEB 15,2011  RADIOLOGY/NUCLEAR MEDICINE
      5611  FEB 17,2011  REGISTRATION
      5612  MAR  2,2011  KERNEL
      5613  MAR  2,2011  VISTALINK
      5614  MAR  2,2011  KERNEL
      5615  MAR  7,2011  KERNEL
      5616  MAR 21,2011  REGISTRATION
      5619  MAR 24,2011  FEE BASIS
      5620  MAR 29,2011  LAB SERVICE
      5626  APR  6,2011  LAB SERVICE
      5627  APR 15,2011  REGISTRATION
      5628  APR 15,2011  IMAGING
      5630  APR 19,2011  ACCOUNTS RECEIVABLE
      5632  JAN  8,2008  HEALTH LEVEL SEVEN
      5633  APR 28,2011  FEE BASIS
      5634  APR 28,2011  FEE BASIS
      5635  APR 28,2011  FEE BASIS
      5637  MAY  2,2011  ORDER ENTRY/RESULTS REPORTING
      5639  MAY  2,2011  ORDER ENTRY/RESULTS REPORTING
      5653  MAY  2,2011  INPATIENT MEDICATIONS
      5654  MAY  2,2011  INPATIENT MEDICATIONS
      5656  MAY  3,2011  ORDER ENTRY/RESULTS REPORTING
      5659  MAY  5,2011  FEE BASIS
      5660  MAY  6,2011  RPC BROKER
      5661  MAY 10,2011  RADIOLOGY/NUCLEAR MEDICINE
      5662  MAY 10,2011  RADIOLOGY/NUCLEAR MEDICINE
      5663  MAY 10,2011  RADIOLOGY/NUCLEAR MEDICINE
      5664  MAY 10,2011  RADIOLOGY/NUCLEAR MEDICINE
      5671  MAY 11,2011  INTEGRATED BILLING
      5675  MAY 24,2011  SURGERY
      5676  MAY 24,2011  TEXT INTEGRATION UTILITIES
      5677  MAY 24,2011  TEXT INTEGRATION UTILITIES
      5678  MAY 24,2011  TEXT INTEGRATION UTILITIES
      5679  JUN  3,2011  LEXICON UTILITY
      5680  JUN  3,2011  LEXICON UTILITY
      5681  JUN  6,2011  LEXICON UTILITY
      5687  JUN 17,2011  CLINICAL REMINDERS
      5688  JUN 22,2011  KERNEL
      5690  JUN 22,2011  ADVERSE REACTION TRACKING
      5691  JUN 24,2011  ORDER ENTRY/RESULTS REPORTING
      5693  JUL  6,2011  ORDER ENTRY/RESULTS REPORTING
      5694  JUL 13,2011  HEALTH LEVEL SEVEN
      5695  JUL 13,2011  HEALTH LEVEL SEVEN
      5696  JUL 25,2011  ACCOUNTS RECEIVABLE
      5697  JUL 26,2011  SCHEDULING
      5698  JUL 26,2011  HEALTH LEVEL SEVEN
      5702  AUG  3,2011  GEN. MED. REC. - VITALS
      5703  AUG  3,2011  PROBLEM LIST
      5704  AUG  3,2011  ORDER ENTRY/RESULTS REPORTING
      5705  AUG  8,2011  VA FILEMAN
      5706  AUG  8,2011  VA FILEMAN
      5707  AUG  8,2011  VA FILEMAN
      5708  AUG  8,2011  REGISTRATION
      5710  AUG 15,2011  INTEGRATED BILLING
      5711  AUG 22,2011  INTEGRATED BILLING
      5712  AUG 22,2011  INTEGRATED BILLING
      5713  AUG 22,2011  INTEGRATED BILLING
      5714  AUG 22,2011  INTEGRATED BILLING
      5718  AUG 24,2011  KERNEL
      5723  SEP 15,2011  E CLAIMS MGMT ENGINE
      5724  SEP 15,2011  E CLAIMS MGMT ENGINE
      5725  SEP 15,2011  KERNEL
      5726  SEP 16,2011  KERNEL
      5728  SEP 29,2011  NATIONAL DRUG FILE
      5730  OCT  5,2011  IMAGING
      5731  OCT 12,2011  ORDER ENTRY/RESULTS REPORTING
      5732  OCT 17,2011  HEALTH LEVEL SEVEN
      5733  OCT 17,2011  HEALTH LEVEL SEVEN
      5734  OCT 17,2011  MENTAL HEALTH
      5735  OCT 17,2011  MENTAL HEALTH
      5737  OCT 18,2011  PHARMACY DATA MANAGEMENT
      5739  OCT 25,2011  NATIONAL HEALTH INFO NETWORK
      5740  OCT 31,2011  OUTPATIENT PHARMACY
      5741  OCT 31,2011  HEALTH LEVEL SEVEN
      5742  OCT 31,2011  HEALTH LEVEL SEVEN
      5744  NOV  2,2011  FEE BASIS
      5745  NOV  2,2011  FEE BASIS
      5746  NOV  4,2011  VA FILEMAN
      5747  NOV  6,2011  DRG GROUPER
      5748  NOV 16,2011  CLINICAL PROCEDURES
      5749  NOV 30,2011  VA FILEMAN
      5750  DEC  2,2011  ORDER ENTRY/RESULTS REPORTING
      5751  DEC  2,2011  ORDER ENTRY/RESULTS REPORTING
      5752  DEC  2,2011  ORDER ENTRY/RESULTS REPORTING
      5753  DEC  2,2011  ORDER ENTRY/RESULTS REPORTING
      5754  DEC  5,2011  PROSTHETICS
      5755  DEC 24,2011  DRG GROUPER
      5764  JAN 12,2012  OUTPATIENT PHARMACY
      5766  FEB 13,2012  ORDER ENTRY/RESULTS REPORTING
      5767  FEB 15,2012  ADVERSE REACTION TRACKING
      5769  FEB 22,2012  CARE MANAGEMENT
      5770  FEB 23,2012  ORDER ENTRY/RESULTS REPORTING
      5771  FEB 23,2012  ORDER ENTRY/RESULTS REPORTING
      5772  FEB 23,2012  WOMEN'S HEALTH
      5773  FEB 24,2012  DRG GROUPER
      5775  JAN 31,2012  ORDER ENTRY/RESULTS REPORTING
      5776  MAR  5,2012  KERNEL
      5777  MAR  5,2012  FEE BASIS
      5778  MAR  5,2012  FEE BASIS
      5780  MAR  5,2012  DRG GROUPER
      5781  MAR  8,2012  LEXICON UTILITY
      5784  MAR 27,2012  OUTPATIENT PHARMACY
      5785  MAR 28,2012  ORDER ENTRY/RESULTS REPORTING
      5787  APR  3,2012  ORDER ENTRY/RESULTS REPORTING
      5791  APR 30,2012  SCHEDULING
      5792  APR 30,2012  SCHEDULING
      5797  MAY  7,2012  REGISTRATION
      5798  MAY  7,2012  REGISTRATION
      5799  MAY 16,2012  REGISTRATION
      5800  MAY 22,2012  ORDER ENTRY/RESULTS REPORTING
      5801  MAY 25,2012  EMERGENCY DEPARTMENT
      5802  MAY 25,2012  EMERGENCY DEPARTMENT
      5803  MAY 25,2012  PHARMACY DATA MANAGEMENT
      5805  MAY 30,2012  MAILMAN
      5806  MAY 31,2012  INTEGRATED BILLING
      5809  JUN 11,2012  CLINICAL PROCEDURES
      5810  JUN 11,2012  CLINICAL PROCEDURES
      5811  JUN 11,2012  CLINICAL PROCEDURES
      5813  JUN 14,2012  WEB SERVICES CLIENT
      5814  JUN 15,2012  WEB SERVICES CLIENT
      5816  JUN 25,2012  KERNEL
      5817  JUL 17,2012  REGISTRATION
      5818  JUL 18,2012  HEALTH LEVEL SEVEN
      5819  JUN 28,2012  VA FILEMAN
      5821  JUL  1,2012  REGISTRATION
      5822  JUL  1,2012  REGISTRATION
      5823  JUL 11,2012  KERNEL
      5824  JUL 11,2012  KERNEL
      5825  JUL 23,2012  FEE BASIS
      5826  JUL 23,2012  FEE BASIS
      5827  JUL 23,2012  FEE BASIS
      5828  JUL 23,2012  FEE BASIS
      5829  JUL 23,2012  FEE BASIS
      5830  JUL 23,2012  FEE BASIS
      5831  AUG  8,2012  REGISTRATION
      5832  AUG 14,2012  KERNEL
      5833  AUG 14,2012  SCHEDULING
      5836  AUG 29,2012  DRUG ACCOUNTABILITY
      5838  AUG 30,2012  SCHEDULING
      5840  SEP  6,2012  LEXICON UTILITY
      5843  SEP  7,2012  ADVERSE REACTION TRACKING
      5844  SEP 11,2012  KERNEL
      5845  SEP 17,2012  CONSULT/REQUEST TRACKING
      5846  SEP 28,2012  VA FILEMAN
      5847  SEP 28,2012  VA FILEMAN
      5848  OCT  2,2012  KERNEL
      5884  NOV 19,2012  PHARMACY DATA MANAGEMENT
      5886  NOV 30,2012  HEALTH LEVEL SEVEN
      5888  DEC 13,2012  REGISTRATION
      5890  DEC 19,2012  ORDER ENTRY/RESULTS REPORTING
      5891  JAN  3,2013  WEB SERVICES CLIENT
      5893  JAN 17,2013  HEALTH LEVEL SEVEN
      5894  JAN 24,2013  REGISTRATION
      5895  JAN 25,2013  VA FILEMAN
      5896  JAN 31,2013  ORDER ENTRY/RESULTS REPORTING
      5897  FEB  4,2013  TEXT INTEGRATION UTILITIES
      5898  FEB  5,2013  TEXT INTEGRATION UTILITIES
      5899  FEB  5,2013  KERNEL
      5900  FEB  6,2013  KERNEL
      5901  MAR  4,2013  TEXT INTEGRATION UTILITIES
      5903  MAR 11,2013  ORDER ENTRY/RESULTS REPORTING
      5906  MAR 26,2013  VA FILEMAN
      5907  MAR 26,2013  VA FILEMAN
      5909  APR 11,2013  BAR CODE MED ADMIN
      5910  MAY  2,2013  RPC BROKER
      5911  MAY  2,2013  ORDER ENTRY/RESULTS REPORTING
      5912  MAY  9,2013  OUTPATIENT PHARMACY
      5913  MAY 14,2013  ENGINEERING
      5914  MAY 15,2013  ENGINEERING
      5915  MAY 15,2013  ENGINEERING
      5916  MAY 15,2013  ENGINEERING
      5917  MAY 15,2013  ENGINEERING
      5918  MAY 15,2013  ENGINEERING
      5920  MAY 15,2013  ENGINEERING
      5921  MAY 16,2013  IFCAP
      5922  MAY 16,2013  IFCAP
      5923  MAY 16,2013  IFCAP
      5924  MAY 16,2013  VA FILEMAN
      5927  JUN  5,2013  VA FILEMAN
      5928  JUN 18,2013  REGISTRATION
      5929  JUN 20,2013  ORDER ENTRY/RESULTS REPORTING
      5930  JUN 20,2013  ORDER ENTRY/RESULTS REPORTING
      5931  JUN 20,2013  ORDER ENTRY/RESULTS REPORTING
      5932  JUN 24,2013  REGISTRATION
      5936  MAR  6,2014  ORDER ENTRY/RESULTS REPORTING
      5939  JUN 26,2013  ORDER ENTRY/RESULTS REPORTING
      5940  JUN 26,2013  ORDER ENTRY/RESULTS REPORTING
      5944  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5945  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5946  JUL  1,2013  RADIOLOGY/NUCLEAR MEDICINE
      5947  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5948  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5955  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5956  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5958  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5960  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5962  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5967  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5971  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5972  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5974  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5975  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5976  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5977  JUL  1,2013  ORDER ENTRY/RESULTS REPORTING
      5983  JUL  2,2013  TEXT INTEGRATION UTILITIES
      5985  JUL  2,2013  TEXT INTEGRATION UTILITIES
      5986  JUL  2,2013  TEXT INTEGRATION UTILITIES
      5987  JUL  2,2013  TEXT INTEGRATION UTILITIES
      5989  JUL  3,2013  LAB SERVICE
      5993  JUL 23,2013  VA FILEMAN
      5994  JUL 29,2013  IMAGING
      5995  JUL 29,2013  CLINICAL PROCEDURES
      5996  JUL 29,2013  CLINICAL PROCEDURES
      5997  JUL 30,2013  IMAGING
      5999  JUL 30,2013  CLINICAL PROCEDURES
      6000  JUL 31,2013  IMAGING
      6001  AUG  1,2013  LAB SERVICE
      6002  AUG  1,2013  REGISTRATION
      6003  AUG  6,2013  LAB SERVICE
      6004  AUG  6,2013  RADIOLOGY/NUCLEAR MEDICINE
      6005  AUG  6,2013  RADIOLOGY/NUCLEAR MEDICINE
      6006  AUG  6,2013  RADIOLOGY/NUCLEAR MEDICINE
      6007  AUG  6,2013  RADIOLOGY/NUCLEAR MEDICINE
      6009  AUG  8,2013  EVENT CAPTURE
      6010  AUG  8,2013  EVENT CAPTURE
      6011  AUG  8,2013  EVENT CAPTURE
      6012  AUG  8,2013  EVENT CAPTURE
      6013  AUG  8,2013  EVENT CAPTURE
      6016  AUG 27,2013  EVENT CAPTURE
      6017  SEP 18,2013  ORDER ENTRY/RESULTS REPORTING
      6022  JAN 15,2014  VIRTUAL PATIENT RECORD
      6023  JAN 17,2014  PCE PATIENT CARE ENCOUNTER
      6027  FEB 21,2014  SCHEDULING
      6028  FEB 24,2014  E CLAIMS MGMT ENGINE
      6029  MAR  7,2014  CLINICAL REMINDERS
      6033  MAR 25,2014  INTEGRATED BILLING
      6035  MAR 31,2014  ORDER ENTRY/RESULTS REPORTING
      6039  APR 14,2014  ORDER ENTRY/RESULTS REPORTING
      6040  APR 14,2014  ORDER ENTRY/RESULTS REPORTING
      6041  APR 15,2014  RADIOLOGY/NUCLEAR MEDICINE
      6042  APR 15,2014  SCHEDULING
      6043  APR 15,2014  KERNEL
      6047  APR 22,2014  SCHEDULING
      6048  APR 23,2014  SCHEDULING
      6049  APR 23,2014  SCHEDULING
      6054  APR 24,2014  SCHEDULING
      6059  MAY 20,2014  CLINICAL REMINDERS
      6060  MAY 23,2014  INTEGRATED BILLING
      6061  MAY 28,2014  INTEGRATED BILLING
      6062  JUN  2,2014  VA FILEMAN
      6064  JUN  4,2014  SCHEDULING
      6065  JUN 13,2014  PROBLEM LIST
      6066  JUN 13,2014  DRG GROUPER
      6067  JUN 19,2014  IFCAP
      6068  JUN 19,2014  IFCAP
      6069  JUN 27,2014  REAL TIME LOCATION SYSTEM
      6070  JUL  9,2014  OUTPATIENT PHARMACY
      6075  JUL 14,2014  OUTPATIENT PHARMACY
      6076  JUL 14,2014  INPATIENT MEDICATIONS
      6080  AUG  4,2014  CLINICAL REMINDERS
      6082  AUG 13,2014  CONSULT/REQUEST TRACKING
      6083  AUG 13,2014  TEXT INTEGRATION UTILITIES
      6084  AUG 14,2014  CLINICAL PROCEDURES
      6086  AUG 14,2014  RADIOLOGY/NUCLEAR MEDICINE
      6087  AUG 14,2014  LAB SERVICE
      6088  AUG 15,2014  AUTHORIZATION/SUBSCRIPTION
      6089  AUG 15,2014  AUTHORIZATION/SUBSCRIPTION
      6100  AUG 25,2014  ORDER ENTRY/RESULTS REPORTING
      6101  AUG 25,2014  ORDER ENTRY/RESULTS REPORTING
      6102  AUG 25,2014  ORDER ENTRY/RESULTS REPORTING
      6103  SEP  8,2014  HEALTH LEVEL SEVEN
      6104  SEP 23,2014  LAB SERVICE
      6109  SEP 25,2014  LAB SERVICE
      6111  SEP 25,2014  LAB SERVICE
      6112  SEP 25,2014  LAB SERVICE
      6114  SEP 26,2014  PROBLEM LIST
      6116  SEP 26,2014  CONSULT/REQUEST TRACKING
      6120  OCT  2,2014  CLINICAL REMINDERS
      6121  OCT  3,2014  KERNEL
      6125  NOV  6,2014  REGISTRATION
      6126  NOV  7,2014  KERNEL
      6128  NOV 17,2014  CPT/HCPCS CODES
      6129  NOV 17,2014  CPT/HCPCS CODES
      6131  NOV 20,2014  INTEGRATED BILLING
      6136  NOV 24,2014  INTEGRATED BILLING
      6137  NOV 26,2014  SCHEDULING
      6139  DEC  2,2014  E CLAIMS MGMT ENGINE
      6142  DEC  9,2014  INTEGRATED BILLING
      6147  JAN 26,2015  KERNEL
      6149  JAN 26,2015  OUTPATIENT PHARMACY
      6151  JAN 26,2015  OUTPATIENT PHARMACY
      6154  JAN 26,2015  TEXT INTEGRATION UTILITIES
      6155  JAN 27,2015  EVENT CAPTURE
      6156  JAN 28,2015  OUTPATIENT PHARMACY
      6171  MAR  3,2015  WEB SERVICES CLIENT
      6172  MAR  3,2015  WEB SERVICES CLIENT
      6173  MAR  3,2015  WEB SERVICES CLIENT
     10000  APR  8,1994  VA FILEMAN
     10001  NOV 17,1998  VA FILEMAN
     10002  NOV 17,1998  VA FILEMAN
     10003  NOV 13,1998  VA FILEMAN
     10004  NOV 16,1998  VA FILEMAN
     10005  NOV 17,1998  VA FILEMAN
     10006  NOV 18,1998  VA FILEMAN
     10007  NOV 18,1998  VA FILEMAN
     10008  NOV 17,1998  VA FILEMAN
     10009  NOV 17,1998  VA FILEMAN
     10010  JAN 12,1995  VA FILEMAN
     10011  NOV 16,1998  VA FILEMAN
     10012  NOV 16,1998  VA FILEMAN
     10013  DEC  4,2001  VA FILEMAN
     10014  NOV 16,1998  VA FILEMAN
     10015  NOV 16,1998  VA FILEMAN
     10016  NOV 17,1998  VA FILEMAN
     10017               VA FILEMAN
     10018  NOV 17,1998  VA FILEMAN
     10019  NOV 17,1998  VA FILEMAN
     10020  NOV 17,1998  VA FILEMAN
     10021  NOV 17,1998  VA FILEMAN
     10022  NOV 13,1998  VA FILEMAN
     10023  NOV 18,1998  VA FILEMAN
     10024  NOV 18,1998  VA FILEMAN
     10025  NOV 17,1998  VA FILEMAN
     10026  NOV 20,1998  VA FILEMAN
     10027  NOV 16,1998  VA FILEMAN
     10028  APR 28,1994  VA FILEMAN
     10029  NOV 16,1998  VA FILEMAN
     10030               VA FILEMAN
     10031  NOV 18,1998  VA FILEMAN
     10032  NOV 13,1998  VA FILEMAN
     10033  NOV 17,1998  VA FILEMAN
     10034  NOV 17,1998  VA FILEMAN
     10035               REGISTRATION
     10036  MAR  7,1994  REGISTRATION
     10037  NOV 16,1999  REGISTRATION
     10038  OCT 28,1994  KERNEL
     10039  OCT 28,1994  REGISTRATION
     10040               SCHEDULING
     10042               SCHEDULING
     10044               KERNEL
     10045               KERNEL
     10046               KERNEL
     10047               KERNEL
     10048  OCT 24,1994  KERNEL
     10050               KERNEL
     10051  JUL 29,2003  KERNEL
     10052  FEB  8,2011  KERNEL
     10053               KERNEL
     10054               LAB SERVICE
     10055               LAB SERVICE
     10056               KERNEL
     10057               VETERANS ADMINISTRATION
     10058               VETERANS ADMINISTRATION
     10060               KERNEL
     10061  MAR  7,1994  REGISTRATION
     10062               VETERANS ADMINISTRATION
     10063  APR 20,1998  KERNEL
     10064  JAN 31,1995  MAILMAN
     10065  JAN 31,1995  MAILMAN
     10066  NOV  2,1994  MAILMAN
     10067  FEB  7,1995  MAILMAN
     10068  FEB  7,1995  MAILMAN
     10069  FEB  8,1995  MAILMAN
     10070  FEB 19,1995  MAILMAN
     10071  FEB 19,1995  MAILMAN
